filename,is_bonafide,attack_type,subject,source_image
bonafide/a_afuat_000.jpg,1,,afuat,afuat/indir.jpg
attack_print/a_afuat_000.jpg,0,print,afuat,afuat/indir.jpg
attack_replay/a_afuat_000.jpg,0,replay,afuat,afuat/indir.jpg
attack_ar_filter/a_afuat_000.jpg,0,ar_filter,afuat,afuat/indir.jpg
attack_digital_photo/a_afuat_000.jpg,0,digital_photo,afuat,afuat/indir.jpg
bonafide/a_afuat_001.jpg,1,,afuat,afuat/profileImage_1200.jpg
attack_print/a_afuat_001.jpg,0,print,afuat,afuat/profileImage_1200.jpg
attack_replay/a_afuat_001.jpg,0,replay,afuat,afuat/profileImage_1200.jpg
attack_ar_filter/a_afuat_001.jpg,0,ar_filter,afuat,afuat/profileImage_1200.jpg
attack_digital_photo/a_afuat_001.jpg,0,digital_photo,afuat,afuat/profileImage_1200.jpg
bonafide/a_ahab_000.jpg,1,,ahab,ahab/1679744618228.jpg
attack_print/a_ahab_000.jpg,0,print,ahab,ahab/1679744618228.jpg
attack_replay/a_ahab_000.jpg,0,replay,ahab,ahab/1679744618228.jpg
attack_ar_filter/a_ahab_000.jpg,0,ar_filter,ahab,ahab/1679744618228.jpg
attack_digital_photo/a_ahab_000.jpg,0,digital_photo,ahab,ahab/1679744618228.jpg
bonafide/a_ahab_001.jpg,1,,ahab,ahab/foto.jpg
attack_print/a_ahab_001.jpg,0,print,ahab,ahab/foto.jpg
attack_replay/a_ahab_001.jpg,0,replay,ahab,ahab/foto.jpg
attack_ar_filter/a_ahab_001.jpg,0,ar_filter,ahab,ahab/foto.jpg
attack_digital_photo/a_ahab_001.jpg,0,digital_photo,ahab,ahab/foto.jpg
bonafide/b_person_0001_000.jpg,1,,person_0001,person_0001/img_006.jpg
attack_print/b_person_0001_000.jpg,0,print,person_0001,person_0001/img_006.jpg
attack_replay/b_person_0001_000.jpg,0,replay,person_0001,person_0001/img_006.jpg
attack_ar_filter/b_person_0001_000.jpg,0,ar_filter,person_0001,person_0001/img_006.jpg
attack_digital_photo/b_person_0001_000.jpg,0,digital_photo,person_0001,person_0001/img_006.jpg
bonafide/b_person_0001_001.jpg,1,,person_0001,person_0001/img_007.jpg
attack_print/b_person_0001_001.jpg,0,print,person_0001,person_0001/img_007.jpg
attack_replay/b_person_0001_001.jpg,0,replay,person_0001,person_0001/img_007.jpg
attack_ar_filter/b_person_0001_001.jpg,0,ar_filter,person_0001,person_0001/img_007.jpg
attack_digital_photo/b_person_0001_001.jpg,0,digital_photo,person_0001,person_0001/img_007.jpg
bonafide/b_person_0002_000.jpg,1,,person_0002,person_0002/img_008.jpg
attack_print/b_person_0002_000.jpg,0,print,person_0002,person_0002/img_008.jpg
attack_replay/b_person_0002_000.jpg,0,replay,person_0002,person_0002/img_008.jpg
attack_ar_filter/b_person_0002_000.jpg,0,ar_filter,person_0002,person_0002/img_008.jpg
attack_digital_photo/b_person_0002_000.jpg,0,digital_photo,person_0002,person_0002/img_008.jpg
bonafide/b_person_0002_001.jpg,1,,person_0002,person_0002/img_009.jpg
attack_print/b_person_0002_001.jpg,0,print,person_0002,person_0002/img_009.jpg
attack_replay/b_person_0002_001.jpg,0,replay,person_0002,person_0002/img_009.jpg
attack_ar_filter/b_person_0002_001.jpg,0,ar_filter,person_0002,person_0002/img_009.jpg
attack_digital_photo/b_person_0002_001.jpg,0,digital_photo,person_0002,person_0002/img_009.jpg
bonafide/b_person_0002_002.jpg,1,,person_0002,person_0002/img_010.jpg
attack_print/b_person_0002_002.jpg,0,print,person_0002,person_0002/img_010.jpg
attack_replay/b_person_0002_002.jpg,0,replay,person_0002,person_0002/img_010.jpg
attack_ar_filter/b_person_0002_002.jpg,0,ar_filter,person_0002,person_0002/img_010.jpg
attack_digital_photo/b_person_0002_002.jpg,0,digital_photo,person_0002,person_0002/img_010.jpg
bonafide/b_person_0003_000.jpg,1,,person_0003,person_0003/img_001.jpg
attack_print/b_person_0003_000.jpg,0,print,person_0003,person_0003/img_001.jpg
attack_replay/b_person_0003_000.jpg,0,replay,person_0003,person_0003/img_001.jpg
attack_ar_filter/b_person_0003_000.jpg,0,ar_filter,person_0003,person_0003/img_001.jpg
attack_digital_photo/b_person_0003_000.jpg,0,digital_photo,person_0003,person_0003/img_001.jpg
bonafide/b_person_0003_001.jpg,1,,person_0003,person_0003/img_002.jpg
attack_print/b_person_0003_001.jpg,0,print,person_0003,person_0003/img_002.jpg
attack_replay/b_person_0003_001.jpg,0,replay,person_0003,person_0003/img_002.jpg
attack_ar_filter/b_person_0003_001.jpg,0,ar_filter,person_0003,person_0003/img_002.jpg
attack_digital_photo/b_person_0003_001.jpg,0,digital_photo,person_0003,person_0003/img_002.jpg
